"word","stateWD","lifespan","nsense","nchange","freqBand"
"anatomize_v","non-obsolete words",483,5,6,4
"anay_v","non-obsolete words",175,1,1,2
"ancestor_v","non-obsolete words",141,1,1,3
"anchor_v","non-obsolete words",799,10,10,5
"anchylose_v","non-obsolete words",237,2,2,4
"and_v","non-obsolete words",63,1,1,2
"androgenize_v","non-obsolete words",72,1,1,3
"anear_v","non-obsolete words",447,3,4,2
"anecdote_v","non-obsolete words",238,3,3,4
"anele_v","non-obsolete words",674,2,2,2
"angariate_v","non-obsolete words",415,1,1,0
"angel_v","non-obsolete words",120,2,2,2
"angelicize_v","non-obsolete words",199,2,2,1
"angelify_v","non-obsolete words",431,1,1,1
"angelize_v","non-obsolete words",431,2,3,1
"anger_v","non-obsolete words",849,7,9,5
"angle-park_v","non-obsolete words",87,2,2,1
"angle_v1","non-obsolete words",626,6,8,4
"angle_v2","non-obsolete words",574,6,7,5
"anglicanize_v","non-obsolete words",224,2,2,1
"anglicize_v","non-obsolete words",314,3,3,4
"anglify_v","non-obsolete words",399,1,1,2
"anglize_v","non-obsolete words",409,1,1,2
"anglo-saxonize_v","non-obsolete words",185,1,1,2
"angry_v","non-obsolete words",494,1,1,2
"angst_v","non-obsolete words",35,1,1,3
"anguish_v","non-obsolete words",684,5,7,4
"angularize_v","non-obsolete words",209,1,1,1
"angulate_v","non-obsolete words",360,2,2,3
"animadvert_v","non-obsolete words",549,5,7,3
"animalize_v","non-obsolete words",407,5,6,3
"animate_v","non-obsolete words",537,13,20,5
"aniseed_v","non-obsolete words",187,1,1,2
"ankle_v","non-obsolete words",131,4,4,5
"annal_v","non-obsolete words",418,1,1,3
"annalize_v","non-obsolete words",408,1,1,1
"anneal_v","non-obsolete words",642,8,11,5
"annect_v","non-obsolete words",574,5,9,1
"annex_v","non-obsolete words",629,12,14,5
"annihilate_v","non-obsolete words",499,13,14,5
"anniversary_v","non-obsolete words",183,3,3,4
"annotate_v","non-obsolete words",426,4,6,5
"annote_v","non-obsolete words",575,3,5,3
"announce_v","non-obsolete words",595,12,12,6
"annoy_v","non-obsolete words",749,13,22,5
"annualize_v","non-obsolete words",224,3,4,4
"annuitize_v","non-obsolete words",238,2,3,3
"annul_v","non-obsolete words",629,5,6,5
"annullate_v","non-obsolete words",454,1,1,1
"annunciate_v","non-obsolete words",491,2,2,3
"anodize_v","non-obsolete words",93,1,1,3
"anoint_v","non-obsolete words",667,12,13,5
"anonymize_v","non-obsolete words",166,1,1,4
"anschluss_v","non-obsolete words",86,1,1,2
"answer_v","non-obsolete words",824,79,85,6
"ant_v","non-obsolete words",80,1,1,3
"antagonize_v","non-obsolete words",390,9,10,5
"ante_v","non-obsolete words",194,2,2,4
"antecede_v","non-obsolete words",400,3,4,3
"antechamber_v","non-obsolete words",140,2,3,2
"antedate_v","non-obsolete words",456,6,9,4
"antepone_v","non-obsolete words",368,1,1,1
"antevert_v","non-obsolete words",441,2,3,2
"anthem_v","non-obsolete words",396,1,1,3
"anthemize_v","non-obsolete words",187,1,1,0
"anthologize_v","non-obsolete words",135,3,3,4
"anthropologize_v","non-obsolete words",151,2,2,2
"anthropomorphitize_v","non-obsolete words",214,1,1,0
"anthropomorphize_v","non-obsolete words",198,2,2,4
"anthropomorphose_v","non-obsolete words",364,2,3,1
"anthropophagize_v","non-obsolete words",431,1,1,0
"antic_v","non-obsolete words",435,2,3,2
"antichristianize_v","non-obsolete words",403,2,3,0
"anticipate_v","non-obsolete words",491,12,16,6
"antidote_v","non-obsolete words",404,2,2,4
"antipathize_v","non-obsolete words",406,2,2,1
"antipose_v","non-obsolete words",393,1,1,1
"antiquarianize_v","non-obsolete words",200,1,1,1
"antiquate_v","non-obsolete words",493,2,2,3
"antique_v","non-obsolete words",238,3,4,3
"antiseptize_v","non-obsolete words",146,1,1,0
"antistrophize_v","non-obsolete words",182,1,1,0
"antithesize_v","non-obsolete words",234,1,1,1
"anvil_v","non-obsolete words",428,2,3,2
"apathize_v","non-obsolete words",176,1,1,1
"apay_v","non-obsolete words",774,2,3,2
"ape_v","non-obsolete words",390,3,3,4
"apent_v","non-obsolete words",624,1,1,2
"apex_v","non-obsolete words",190,4,4,3
"aphetize_v","non-obsolete words",140,1,1,0
"aphorize_v","non-obsolete words",355,1,1,2
"apocopate_v","non-obsolete words",179,1,1,2
"apollonize_v","non-obsolete words",189,1,1,0
"apologize_v","non-obsolete words",415,2,3,5
"apophthegmatize_v","non-obsolete words",206,1,1,0
"apoplex_v","non-obsolete words",420,1,1,1
"apostasize_v","non-obsolete words",328,1,1,3
"apostatize_v","non-obsolete words",413,4,5,3
"apostil_v","non-obsolete words",387,1,1,1
"apostolize_v","non-obsolete words",372,2,2,1
"apostrophize_v","non-obsolete words",413,3,3,4
"apotheose_v","non-obsolete words",392,1,1,2
"apotheosize_v","non-obsolete words",329,1,1,3
"appal_v","non-obsolete words",709,10,18,5
"apparel_v","non-obsolete words",774,10,17,4
"apparition_v","non-obsolete words",148,1,1,2
"appeal_v","non-obsolete words",694,14,18,6
"appear_v","non-obsolete words",774,14,15,7
"appease_v","non-obsolete words",694,11,14,5
